"fixture_key"	"role"	"youtube_video_id"	"title"	"source_state"	"evidence_state"	"selected_track"	"existing_tracks"	"advertised_requested_tracks"	"reason"
"LIBRARY_11"	"CURRENT_LIBRARY"	"SIAGpAaLSaI"	"React hooks: 03 - Dùng useState() qua ví dụ đơn giản (2020)"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_12"	"CURRENT_LIBRARY"	"_yfpSc6ubLE"	"Typescript: 01-01 - Giới thiệu nội dung series typescript cơ bản"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_13"	"CURRENT_LIBRARY"	"30sMCciFIAM"	"SPA/MPA là gì | Khái niệm SPA |  ReactJS"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_14"	"CURRENT_LIBRARY"	"hjIxfXKmkjk"	"React useEffect hook chi tiết dành cho người mới | React JS"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_15"	"CURRENT_LIBRARY"	"unFHsn0qSMA"	"React hooks - Giới thiệu tổng quát về hooks (2020)"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_16"	"CURRENT_LIBRARY"	"6TE1VEIWqLE"	"CHIA SẺ KỸ NĂNG MỀM CHO SINH VIÊN: Rèn luyện kỹ năng giao tiếp và thuyết trình tốt (BUỔI 2)"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_17"	"CURRENT_LIBRARY"	"nCVDg40aoeY"	"Fresher/Người Ít Kính Nghiệm ""Phải Biết"" Nếu Muốn Xin Việc/Thực Tập | Review CV Trong 3 phút"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_18"	"CURRENT_LIBRARY"	"0uAc1K2kfrA"	"Những Sinh Viên IT Sợ Code"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_19"	"CURRENT_LIBRARY"	"-BtolPy15fg"	"#1 What and Why Git - Tại Sao Chúng Ta Học Git | Git Siêu Dễ Cho Beginners Từ A Đến Z"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_20"	"CURRENT_LIBRARY"	"QoW2wR_P4WU"	"Cách để Học Mọi Thứ Nhanh Hơn và Tốt Hơn | VyLog Khánh Vy"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_21"	"CURRENT_LIBRARY"	"OqdLrih2G9A"	"Cách tự học từ vựng Tiếng Anh mỗi ngày để lên trình | VyVocab Ep.52 | Khánh Vy"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_22"	"CURRENT_LIBRARY"	"MICKb4Cko2Y"	"Kế Hoạch 30 Ngày Tự Học Tiếng Anh Chi Tiết | Cải thiện & Nâng Cao Vượt Bậc VyVocab Ep.114"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_23"	"CURRENT_LIBRARY"	"yd17Or0C4vs"	"Lên Kế Hoạch 1 NĂM GIỎI TIẾNG ANH | 15 phút mỗi ngày/365 ngày | VyVocab Ep.104"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_24"	"CURRENT_LIBRARY"	"6-uzl3hLfLM"	"5 Mẹo Tự Học Tiếng Anh cho người Mất Gốc | Tự Học Không Khó VyVocab Ep.93 Khánh Vy"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_25"	"CURRENT_LIBRARY"	"lk4faynwZ5Q"	"Cách mình Quản Lý Thời Gian Tối Ưu | VyLog - Khánh Vy"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_26"	"CURRENT_LIBRARY"	"Uq3KjJA8BHQ"	"HỌC NHỒI TỪ VỰNG TIẾNG ANH? 100 TỪ 1 NGÀY CÓ KHẢ THI? [Eng]"	"VTT_USABLE"	"DOWNLOADED"	"vi"	"vi"	"vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_27"	"CURRENT_LIBRARY"	"2GbX7PB7KUQ"	"3 nguồn luyện Phát âm tiếng Anh hiệu quả| IELTS FIGHTER"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_28"	"CURRENT_LIBRARY"	"BMo3pDEq6Ac"	"Lỗi Sai Khi Học và Thi IELTS | Cách Tăng Band Điểm 4 Kỹ Năng VyVocab Ep.111"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_29"	"CURRENT_LIBRARY"	"Lgy0tRU7Zcc"	"(Cấp tốc) Thuộc ngay 100 mẫu câu giao tiếp nơi công sở để TỰ TIN nói chuyện với đồng nghiệp nhé"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_30"	"CURRENT_LIBRARY"	"lqWDu83zHDg"	"Hướng Dẫn Tự Học Tiếng Anh Từ Con Số 0 | The Anh English"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_31"	"CURRENT_LIBRARY"	"Cw0J6jYJtzw"	"Spring Boot Tutorial for Beginners | Full Course 2025"	"VTT_USABLE"	"DOWNLOADED"	"vi"	"vi"	"vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_32"	"CURRENT_LIBRARY"	"her_7pa0vrg"	"Spring Security | FULL COURSE"	"VTT_USABLE"	"DOWNLOADED"	"vi"	"vi"	"vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_33"	"CURRENT_LIBRARY"	"Gjnup-PuquQ"	"Docker in 100 Seconds"	"VTT_USABLE"	"DOWNLOADED"	"vi"	"vi"	"vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_34"	"CURRENT_LIBRARY"	"kkeFE6iRfMM"	"How To Choose The Right Database?"	"NO_VTT"	"METADATA_CONFIRMED"	""	""	""	"Downloaded metadata advertises none of the requested vi-orig, vi, or en tracks."
"LIBRARY_35"	"CURRENT_LIBRARY"	"Geq60OVyBPg"	"Software Testing Tutorial - Learn Unit Testing and Integration Testing"	"VTT_USABLE"	"DOWNLOADED"	"vi"	"vi"	"vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"LIBRARY_36"	"CURRENT_LIBRARY"	"iYM2zFP3Zn0"	"HTTP Crash Course & Exploration"	"VTT_USABLE"	"DOWNLOADED"	"vi"	"vi"	"vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
"H1_GIT_TEAMWORK"	"HISTORICAL_H1"	"-XsRLyKV9_k"	"#5 Làm Việc Nhóm Với Git | Git Siêu Dễ Cho Beginners Từ A Đến Z"	"VTT_USABLE"	"DOWNLOADED"	"vi-orig"	"vi-orig"	"vi-orig,vi,en"	"Selected the first usable track by vi-orig, vi, en priority."
